refdes,x,y,rot
"Y2",166.00,81.53,180
"U3",149.00,86.88,270
"Y1",155.00,106.78,0
"C9",130.00,103.50,0
"J4",156.00,92.27,270
"C1",133.00,122.53,-90
"D2",146.00,126.72,180
"C11",174.00,101.06,180
"C3",131.00,84.43,90
"FB1",133.00,100.93,180
"C4",130.00,79.56,0
"U4",181.00,128.01,-90
"D4",125.00,93.54,90
"C6",170.00,100.74,0
"C12",150.00,96.03,270
"C7",138.00,123.93,0
"J8",118.00,93.28,-90
"U2",136.00,116.43,180
"D1",136.00,129.16,-180
"C10",151.00,124.85,0
"S1",120.00,82.67,0
"C13",173.00,121.78,0
"J6",165.00,135.46,-270
"U5",133.00,111.35,180
"JP1",144.00,96.52,90
"J7",142.00,138.01,-270
"U1",119.00,112.72,180
"Z1",158.00,83.68,0
"R3",149.00,130.39,-90
"J2",136.00,90.53,0
"RN2",154.00,80.96,0
"R4",158.00,104.15,90
"R2",139.00,98.86,90
"J9",120.00,123.96,0
"D5",169.00,104.04,180
"RN1",134.00,106.23,180
"RN3",116.00,101.01,0
"FB2",133.00,81.62,90
"RN4",175.00,81.17,270
"F2",144.00,119.04,90
"J5",171.00,88.25,90
"C5",178.00,83.27,270
"Z2",115.00,107.46,180
"R1",149.00,107.48,180
"D3",148.00,81.08,90
"C2",162.00,112.08,270
"D7",156.00,109.21,0
"J1",141.00,81.68,-90
"C8",118.00,104.91,90
"Q1",144.00,104.31,180
"J3",179.00,103.72,180
"D6",127.00,85.45,90
"JP2",142.00,100.13,180
